label	mode	blocks	learners	n_base_cols	clip_percentile	train_oof_mae	train_oof_rmse	train_oof_r2	train_oof_pearson	test_mae	test_rmse	test_r2	test_pearson	delta_test_mae_vs_full
full	full	BEH+COMP+DL+DTI+EEG+MRI	krr+lgbm+lgbmq+ridge+svr	30	5	2.844756	3.676124	0.962209	0.980930	3.044853	3.818926	0.959547	0.979883	0.000000
drop__BEH	drop_block	COMP+DL+DTI+EEG+MRI	krr+lgbm+lgbmq+ridge+svr	25	5	2.839464	3.651555	0.962713	0.981183	3.039467	3.817363	0.959580	0.979908	-0.005386
drop__EEG	drop_block	BEH+COMP+DL+DTI+MRI	krr+lgbm+lgbmq+ridge+svr	25	5	2.817506	3.632615	0.963098	0.981394	2.971710	3.738380	0.961235	0.980671	-0.073143
drop__MRI	drop_block	BEH+COMP+DL+DTI+EEG	krr+lgbm+lgbmq+ridge+svr	25	5	2.850419	3.691308	0.961896	0.980776	2.946722	3.711399	0.961793	0.980941	-0.098131
drop__COMP	drop_block	BEH+DL+DTI+EEG+MRI	krr+lgbm+lgbmq+ridge+svr	25	5	2.840136	3.693412	0.961853	0.980751	3.121628	3.888364	0.958063	0.979148	0.076775
drop__DL	drop_block	BEH+COMP+DTI+EEG+MRI	krr+lgbm+lgbmq+ridge+svr	25	2	3.863457	4.905388	0.932710	0.965782	3.979809	4.995614	0.930778	0.965788	0.934956
drop__DTI	drop_block	BEH+COMP+DL+EEG+MRI	krr+lgbm+lgbmq+ridge+svr	25	7	2.830320	3.714077	0.961425	0.980532	3.127905	3.879946	0.958244	0.979169	0.083052
alone__BEH	block_alone	BEH	krr+lgbm+lgbmq+ridge+svr	5	7	8.016471	10.188670	0.709704	0.843172	7.222180	9.475496	0.750958	0.876592	4.177327
alone__EEG	block_alone	EEG	krr+lgbm+lgbmq+ridge+svr	5	12	10.144409	12.585654	0.557047	0.746911	8.691875	11.252688	0.648779	0.808336	5.647022
alone__MRI	block_alone	MRI	krr+lgbm+lgbmq+ridge+svr	5	10	6.031160	7.647904	0.836435	0.914648	5.715112	7.229938	0.855010	0.925034	2.670259
alone__COMP	block_alone	COMP	krr+lgbm+lgbmq+ridge+svr	5	10	4.021602	5.030916	0.929222	0.963969	3.617754	4.737808	0.937738	0.968780	0.572901
alone__DL	block_alone	DL	krr+lgbm+lgbmq+ridge+svr	5	7	3.015979	3.879350	0.957915	0.978747	3.086478	4.003067	0.955552	0.977719	0.041625
alone__DTI	block_alone	DTI	krr+lgbm+lgbmq+ridge+svr	5	7	7.029965	8.893325	0.778826	0.882731	5.974728	7.919062	0.826053	0.909261	2.929875
single__BEH__ridge	block_learner	BEH	ridge	1	15	9.589561	11.658154	0.619928	0.787475	7.181705	9.772371	0.735108	0.868088	4.136852
single__BEH__krr	block_learner	BEH	krr	1	20	9.484941	11.673834	0.618905	0.786918	7.248815	9.591275	0.744835	0.870244	4.203962
single__BEH__lgbm	block_learner	BEH	lgbm	1	12	7.700461	10.134144	0.712803	0.844490	7.609580	10.078292	0.718264	0.856954	4.564727
single__BEH__svr	block_learner	BEH	svr	1	20	9.254126	11.428744	0.634739	0.796927	7.523625	9.652104	0.741588	0.870049	4.478772
single__BEH__lgbmq	block_learner	BEH	lgbmq	1	7	7.808855	10.145291	0.712171	0.844138	7.276966	9.435365	0.753063	0.875588	4.232113
